PARAMETERS,PM10,PM2.5_,SO2,CO_,NO,NO2_,NOX,NH3_,O3_,BEN_,TOLU_,ETHYL,MP_,OXY_,WS,WD,TC_,RH_,SR_,RG_,AQI
UNIT,?g/m3,?g/m3,?g/m3,mg/m3,?g/m3,?g/m3,?g/m3,?g/m3,?g/m3,?g/m3,?g/m3,?g/m3,?g/m3,?g/m3,m/s,degre-----,degreC,%,W/m2,m m,
30-07-2023,54.46,28.01,4.18,0.61,4.78,12.33,32.08,5.01,38.53,0.96,1.46,0,0,0,2.47,261.11,27.08,84.81,283.4,0,54
31-07-2023,53.68,27.23,4.16,0.54,4.75,12.19,32,5.03,38.31,0.96,1.45,0,0,0,2.36,260.26,27.13,86.3,284.08,0,54
1/8/2023,54.25,27.8,4.22,0.55,4.86,12.35,32,5.01,38.98,0.96,1.46,0,0,0,2.56,257.87,27.45,85.75,288.36,0,54
2/8/2023,64.23,37.78,4.2,0.63,4.82,12.28,31.93,4.96,38.75,0.96,1.46,0,0,0,2.19,254.4,27.48,85.08,288.76,0,64
3/8/2023,39.14,19.43,4.18,0.52,4.78,12.2,32.04,5.04,38.53,0.96,1.45,0,0,0,2.58,254.52,27.7,84.87,291.61,0,39
4/8/2023,8.25,0,4.18,0.8,4.77,12.25,32.03,4.97,38.48,0.96,1.45,0,0,0,2.13,254.06,27.28,86.27,286.15,0,40
5/8/2023,9.73,0,4.17,0.43,4.77,12.23,31.89,5.02,38.46,0.96,1.45,0,0,0,2.23,256.45,27.33,84.01,286.72,0,38
6/8/2023,8.5,0,4.17,0.41,4.76,12.25,32.09,4.97,38.39,0.96,1.45,0,0,0,2.4,254.58,27.67,83.56,291.3,0,38
7/8/2023,8.77,0,4.17,0.43,4.77,12.28,32.07,5.01,38.43,0.96,1.46,0,0,0,2.44,254.09,28.01,80.73,295.75,0,38
8/8/2023,34.1,3.99,4.18,0.57,4.79,12.25,31.98,4.98,38.58,0.96,1.45,0,0,0,2.09,253.59,27.53,84.75,289.42,0,39
9/8/2023,68.16,9.41,4.19,0.52,4.79,12.28,32.04,4.97,38.59,0.96,1.46,0,0,0,2.09,253.23,27.76,82.11,292.49,0,68
10/8/2023,67.35,10.33,4.18,0.86,4.71,11.98,30.66,4.81,38.47,0.96,1.45,0,0,0,2.21,253.61,28.02,81.99,295.87,0,67
11/8/2023,58.66,30.71,4.21,0.56,3.83,7.81,10.37,2.98,38.88,0.96,1.45,0,0,0,2.68,253.48,28.46,80.05,301.72,0,59
12/8/2023,57.88,30.36,4.17,0.58,3.77,7.94,10.48,3.02,38.42,0.96,1.46,0,0,0,2.84,253.61,28.19,80.77,298.15,0,58
13-08-2023,58.47,30.63,4.2,0.55,3.82,7.84,10.55,2.96,38.77,0.96,1.45,0,0,0,2.46,253.05,27.87,81.04,293.9,0,58
14-08-2023,57.85,30.35,4.17,0.6,3.77,7.9,10.52,3,38.4,0.96,1.46,0,0,0,2.17,252.24,27.51,80.94,289.13,0,58
15-08-2023,58.32,30.56,4.19,0.53,3.81,7.82,10.55,3.01,38.68,0.96,1.45,0,0,0,1.97,252.28,27.44,78.02,288.23,0,58
16-08-2023,57.88,30.36,4.17,0.6,3.77,7.91,10.47,2.99,38.42,0.96,1.46,0,0,0,1.64,252.32,27.35,80.95,286.99,0,58
17-08-2023,58.26,30.53,4.19,0.41,3.8,7.92,10.44,2.97,38.64,0.96,1.46,0,0,0,1.87,252.74,27.89,79.02,294.16,0,58
18-08-2023,58.29,30.55,4.19,0.69,3.8,7.93,10.45,2.98,38.66,0.96,1.46,0,0,0,1.72,252.72,27.28,82.09,286.11,0,58
19-08-2023,58.34,30.57,4.19,0.83,3.81,7.97,10.51,3,38.69,0.96,1.46,0,0,0,1.69,253.32,26.4,86.98,274.46,0,58
20-08-2023,58.6,30.69,4.21,0.39,3.83,7.97,10.69,2.99,38.84,0.96,1.46,0,0,0,2.11,252.11,27.66,81.25,291.09,0,59
21-08-2023,58.06,30.44,4.18,0.67,3.79,7.93,10.5,2.97,38.53,0.96,1.46,0,0,0,2.36,251.79,28.21,80.13,298.35,0,58
22-08-2023,58.49,30.64,4.2,0.57,3.82,7.93,10.46,2.96,38.78,0.96,1.46,0,0,0,2.37,251.6,28.57,78.52,303.06,0,58
23-08-2023,58.05,30.44,4.18,0.45,3.79,7.95,10.59,2.99,38.52,0.96,1.46,0,0,0,2.34,251.55,28.82,76.38,306.4,0,58
24-08-2023,57.84,30.34,4.17,0.69,3.77,7.82,10.28,2.97,38.4,0.96,1.45,0,0,0,1.94,251.93,27.74,79.21,292.11,0,58
25-08-2023,58.42,30.61,4.2,0.73,3.81,7.88,10.56,2.99,38.74,0.96,1.45,0,0,0,1.74,251.81,27.8,79.74,292.94,0,58
26-08-2023,57.62,30.24,4.16,0.82,3.76,7.97,10.59,3,38.27,0.96,1.46,0,0,0,1.62,251.76,27.86,81.32,293.79,0,58
27-08-2023,58.37,30.58,4.2,0.72,3.81,8.03,10.37,2.97,38.71,0.96,1.46,0,0,0,1.71,251.58,27.92,80.78,294.57,0,58
28-08-2023,58.88,30.82,4.22,0.66,3.85,7.89,10.56,3,39.01,0.96,1.46,0,0,0,1.68,252.11,27.89,79.18,294.1,0,59
29-08-2023,58.49,30.64,4.2,0.39,3.82,7.92,10.39,2.97,38.78,0.96,1.46,0,0,0,2.47,251.54,28.02,78.45,295.82,0,58
30-08-2023,58.26,30.53,4.19,0.39,3.8,7.91,10.36,3,38.65,0.96,1.46,0,0,0,2.16,251.34,28.67,79.77,304.42,0,58
31-08-2023,58.11,30.47,4.18,0.44,3.79,7.84,10.48,2.98,38.56,0.96,1.45,0,0,0,1.95,251.45,28.64,80.01,304.09,0,58
1/9/2023,54.25,27.8,4.22,0.55,4.86,12.35,32,5.01,38.98,0.96,1.46,0,0,0,2.56,257.87,27.45,85.75,288.36,0,54
2/9/2023,64.23,37.78,4.2,0.63,4.82,12.28,31.93,4.96,38.75,0.96,1.46,0,0,0,2.19,254.4,27.48,85.08,288.76,0,64
3/9/2023,39.14,19.43,4.18,0.52,4.78,12.2,32.04,5.04,38.53,0.96,1.45,0,0,0,2.58,254.52,27.7,84.87,291.61,0,39
4/9/2023,8.25,0,4.18,0.8,4.77,12.25,32.03,4.97,38.48,0.96,1.45,0,0,0,2.13,254.06,27.28,86.27,286.15,0,40
5/9/2023,9.73,0,4.17,0.43,4.77,12.23,31.89,5.02,38.46,0.96,1.45,0,0,0,2.23,256.45,27.33,84.01,286.72,0,38
6/9/2023,8.5,0,4.17,0.41,4.76,12.25,32.09,4.97,38.39,0.96,1.45,0,0,0,2.4,254.58,27.67,83.56,291.3,0,38
7/9/2023,8.77,0,4.17,0.43,4.77,12.28,32.07,5.01,38.43,0.96,1.46,0,0,0,2.44,254.09,28.01,80.73,295.75,0,38
8/9/2023,34.1,3.99,4.18,0.57,4.79,12.25,31.98,4.98,38.58,0.96,1.45,0,0,0,2.09,253.59,27.53,84.75,289.42,0,39
9/9/2023,68.16,9.41,4.19,0.52,4.79,12.28,32.04,4.97,38.59,0.96,1.46,0,0,0,2.09,253.23,27.76,82.11,292.49,0,68
10/9/2023,67.35,10.33,4.18,0.86,4.71,11.98,30.66,4.81,38.47,0.96,1.45,0,0,0,2.21,253.61,28.02,81.99,295.87,0,67
11/9/2023,58.66,30.71,4.21,0.56,3.83,7.81,10.37,2.98,38.88,0.96,1.45,0,0,0,2.68,253.48,28.46,80.05,301.72,0,59
12/9/2023,57.88,30.36,4.17,0.58,3.77,7.94,10.48,3.02,38.42,0.96,1.46,0,0,0,2.84,253.61,28.19,80.77,298.15,0,58
13-09-2023,58.47,30.63,4.2,0.55,3.82,7.84,10.55,2.96,38.77,0.96,1.45,0,0,0,2.46,253.05,27.87,81.04,293.9,0,58
14-09-2023,57.85,30.35,4.17,0.6,3.77,7.9,10.52,3,38.4,0.96,1.46,0,0,0,2.17,252.24,27.51,80.94,289.13,0,58
15-09-2023,58.32,30.56,4.19,0.53,3.81,7.82,10.55,3.01,38.68,0.96,1.45,0,0,0,1.97,252.28,27.44,78.02,288.23,0,58
16-09-2023,57.88,30.36,4.17,0.6,3.77,7.91,10.47,2.99,38.42,0.96,1.46,0,0,0,1.64,252.32,27.35,80.95,286.99,0,58
17-09-2023,58.26,30.53,4.19,0.41,3.8,7.92,10.44,2.97,38.64,0.96,1.46,0,0,0,1.87,252.74,27.89,79.02,294.16,0,58
18-09-2023,58.29,30.55,4.19,0.69,3.8,7.93,10.45,2.98,38.66,0.96,1.46,0,0,0,1.72,252.72,27.28,82.09,286.11,0,58
19-09-2023,58.34,30.57,4.19,0.83,3.81,7.97,10.51,3,38.69,0.96,1.46,0,0,0,1.69,253.32,26.4,86.98,274.46,0,58
20-09-2023,58.6,30.69,4.21,0.39,3.83,7.97,10.69,2.99,38.84,0.96,1.46,0,0,0,2.11,252.11,27.66,81.25,291.09,0,59
21-09-2023,58.06,30.44,4.18,0.67,3.79,7.93,10.5,2.97,38.53,0.96,1.46,0,0,0,2.36,251.79,28.21,80.13,298.35,0,58
22-09-2023,58.49,30.64,4.2,0.57,3.82,7.93,10.46,2.96,38.78,0.96,1.46,0,0,0,2.37,251.6,28.57,78.52,303.06,0,58
23-09-2023,58.05,30.44,4.18,0.45,3.79,7.95,10.59,2.99,38.52,0.96,1.46,0,0,0,2.34,251.55,28.82,76.38,306.4,0,58
24-09-2023,57.84,30.34,4.17,0.69,3.77,7.82,10.28,2.97,38.4,0.96,1.45,0,0,0,1.94,251.93,27.74,79.21,292.11,0,58
25-09-2023,58.42,30.61,4.2,0.73,3.81,7.88,10.56,2.99,38.74,0.96,1.45,0,0,0,1.74,251.81,27.8,79.74,292.94,0,58
26-09-2023,57.62,30.24,4.16,0.82,3.76,7.97,10.59,3,38.27,0.96,1.46,0,0,0,1.62,251.76,27.86,81.32,293.79,0,58
27-09-2023,58.37,30.58,4.2,0.72,3.81,8.03,10.37,2.97,38.71,0.96,1.46,0,0,0,1.71,251.58,27.92,80.78,294.57,0,58
28-09-2023,58.88,30.82,4.22,0.66,3.85,7.89,10.56,3,39.01,0.96,1.46,0,0,0,1.68,252.11,27.89,79.18,294.1,0,59
29-09-2023,58.49,30.64,4.2,0.39,3.82,7.92,10.39,2.97,38.78,0.96,1.46,0,0,0,2.47,251.54,28.02,78.45,295.82,0,58
30-09-2023,58.26,30.53,4.19,0.39,3.8,7.91,10.36,3,38.65,0.96,1.46,0,0,0,2.16,251.34,28.67,79.77,304.42,0,58
1/10/2023,59.34,30.39,4.17,0.73,3.88,7.85,10.52,2.97,39.27,0.96,1.46,0,0,0,1.5,257.9,24.51,98.68,249.55,0,59
2/10/2023,59.1,30.37,4.17,0.78,3.86,7.94,10.59,3.02,39.18,0.96,1.45,0,0,0,1.56,257.1,26.16,91.56,271.31,0,59
3/10/2023,56.88,30.35,4.17,0.93,3.7,7.98,10.36,3.02,37.95,0.96,1.46,0,0,0,1.46,254.1,27.08,86.7,283.47,0,57
5/10/2023,58.34,30.57,4.2,0.71,3.81,7.91,10.5,3.01,38.69,0.96,1.46,0,0,0,1.73,255.2,27.8,81.95,292.99,0,58
6/10/2023,58.23,30.52,4.19,0.84,3.8,7.94,10.4,3,38.63,0.96,1.46,0,0,0,1.59,254.8,27.4,81.5,287.69,0,58
7/10/2023,57.81,30.33,4.17,0.64,3.77,7.89,10.56,2.99,38.36,0.96,1.46,0,0,0,1.54,254.2,27.23,80.34,285.41,0,58
8/10/2023,57.8,30.33,4.17,0.45,3.77,7.92,10.46,2.98,38.38,0.96,1.46,0,0,0,1.52,254.2,27.63,80.11,290.75,0,58
9/10/2023,58.75,30.76,4.22,0.56,3.84,7.87,10.48,2.96,38.93,0.96,1.46,0,0,0,1.59,253.3,28.09,79.56,296.78,0,59
10/10/2023,58.7,30.73,4.21,0.44,3.83,7.97,10.45,3,38.9,0.96,1.46,0,0,0,1.56,252.7,28.46,77.92,301.69,0,59
11/10/2023,57.47,30.28,4.15,0.45,3.76,7.97,10.56,2.96,38.35,0.96,1.46,0,0,0,1.49,252.2,27.42,85.51,287.93,0,57
12/10/2023,57.85,30.43,4.17,0.32,3.79,7.93,10.69,2.97,38.52,0.96,1.46,0,0,0,1.68,253.5,27.08,86.21,283.41,0,58
13-10-2023,57.71,30.29,4.16,0.34,3.76,7.91,10.52,3,38.33,0.96,1.46,0,0,0,1.37,253.5,26.17,89,271.4,0,58
14-10-2023,58.58,30.68,4.21,0.28,3.83,7.83,10.47,2.99,38.83,0.96,1.45,0,0,0,1.58,252.5,26.95,86.05,281.74,0,59
15-10-2023,57.99,30.41,4.18,0.34,3.78,7.84,10.42,2.99,38.49,0.96,1.46,0,0,0,1.36,252.1,26.83,88.22,280.08,0,58
16-10-2023,58.35,30.58,4.2,0.3,3.81,7.94,10.6,2.97,38.7,0.96,1.46,0,0,0,1.43,253.1,27.72,81.93,291.86,0,58
17-10-2023,58.02,30.42,4.18,0.3,3.78,7.89,10.53,3.01,38.5,0.96,1.46,0,0,0,1.62,253.3,27.53,83.4,289.34,0,58
18-10-2023,57.15,30.03,4.13,0.34,3.72,7.86,10.62,2.96,37.99,0.96,1.46,0,0,0,1.48,253.3,28.23,81.37,298.57,0,57
19-10-2023,58.52,30.65,4.2,0.29,3.82,7.94,10.42,2.97,38.8,0.96,1.46,0,0,0,1.49,253.3,28.01,82.7,295.67,0,59
20-10-2023,58.95,30.84,4.23,0.28,3.85,7.92,10.56,2.98,39.04,0.96,1.46,0,0,0,1.47,253.4,27.78,84.14,292.75,0,59
21-10-2023,58.05,30.44,4.18,0.39,3.79,8.03,10.45,2.97,38.46,0.96,1.47,0,0,0,1.49,253.8,27.94,84.92,294.74,0,58
22-10-2023,58.15,30.59,4.19,0.29,3.81,7.99,10.43,3,38.71,0.96,1.46,0,0,0,1.46,253.3,26.8,90.3,279.73,0,58
23-10-2023,57.98,30.22,4.18,0.3,3.75,7.87,10.58,3.01,38.24,0.96,1.46,0,0,0,1.62,251.6,26.79,87.77,279.59,0,58
24-10-2023,57.73,30.2,4.16,0.35,3.75,7.91,10.43,3.02,38.2,0.96,1.46,0,0,0,1.55,251.1,27.28,84.01,286.07,0,58
25-10-2023,58.1,30.56,4.18,0.38,3.81,7.84,10.65,2.98,0.38,0.96,1.45,0,0,0,1.34,251.1,27.02,86.43,282.7,0,58
26-10-2023,57.96,30.88,4.17,0.4,3.86,7.85,10.47,3,0.4,0.96,1.45,0,0,0,1.53,251.3,27.85,84.9,293.6,0,58
27-10-2023,57.54,30.77,4.15,0.3,3.84,7.91,10.35,2.97,0.3,0.96,1.45,0,0,0,1.37,251.1,28.28,82.8,299.32,0,58
28-10-2023,58.13,30.48,4.18,0.29,3.79,7.84,10.6,3.01,0.29,0.96,1.45,0,0,0,1.31,251.3,27.78,85.54,292.65,0,58
29-10-2023,58.34,30.57,4.18,0.35,3.81,7.93,10.56,2.98,0.35,0.96,1.46,0,0,0,1.56,251,27.54,82.14,289.5,4,58
30-10-2023,58.46,30.62,4.18,0.49,3.82,7.93,10.43,2.97,38.76,0.96,1.46,0,0,0,1.33,250.2,26.51,88.02,275.87,0,58
31-10-2023,58.29,30.55,4.2,0.35,3.8,7.95,10.56,3,38.66,0.96,1.46,0,0,0,1.59,250.2,27.85,81.73,293.64,0,58
1/11/2023,58.22,30.52,4.13,0.33,3.8,7.9,10.49,2.99,38.6,0.96,1.46,0,0,0,1.63,250.2,28.16,81.79,297.71,0,58
3/11/2023,58.6,30.69,4.21,0.33,3.83,7.85,10.48,3.01,38.8,0.96,1.45,0,0,0,1.59,250.3,28.01,82.51,295.7,0,59
4/11/2023,57.53,30.21,4.16,0.29,3.75,7.89,10.49,2.98,38.2,0.96,1.46,0,0,0,1.5,250.76,25.62,92.98,264.25,0,58
5/11/2023,58.16,30.49,4.18,0.47,3.8,7.98,10.52,3,38.6,0.96,1.45,0,0,0,1.36,250.63,26.04,89.25,269.7,0,58
6/11/2023,58.2,30.51,4.21,0.4,3.8,7.91,10.53,3,38.6,0.96,1.46,0,0,0,1.56,251.13,27.31,87.15,286.47,0,58
7/11/2023,58.23,30.52,4.2,0.57,3.8,7.9,10.44,3.01,38.6,0.96,1.46,0,0,0,1.26,251.06,27.32,88.77,286.65,0,58
8/11/2023,58.08,30.45,4.18,0.37,3.79,7.86,10.39,2.97,38.5,0.96,1.46,0,0,0,1.7,251.1,27.58,84.28,290.04,0,58
9/11/2023,58.32,30.56,4.21,0.52,3.81,7.98,10.5,2.99,38.7,0.96,1.46,0,0,0,1.26,251.03,25.65,93.35,264.64,0,58
10/11/2023,58.19,30.5,4.19,0.51,3.8,7.94,10.61,3.03,38.6,0.96,1.46,0,0,0,1.52,252.13,27.02,87.66,282.71,0,58
11/11/2023,58.33,30.57,4.19,0.47,3.81,8,10.46,3.01,38.7,0.96,1.46,0,0,0,1.66,251.82,29.3,73.82,312.73,0,58
12/11/2023,58.35,30.57,5.36,0.97,4.09,7.88,11.74,3.04,38.7,0.96,1.46,0,0,0,1.7,251.09,28.02,67.58,295.9,0,58
13-11-2023,57.93,30.39,3.66,0.92,5.74,7.9,18.53,3,38.5,0.96,1.46,0,0,0,1.62,250.91,27.6,68.6,290.31,0,58
14-11-2023,58.35,30.56,5.85,0.63,5.76,7.93,18.5,2.97,38.7,0.96,1.46,0,0,0,1.55,251.11,27.57,72.46,289.94,0,58
15-11-2023,58.35,30.4,6.29,0.66,5.76,7.9,18.35,2.98,38.5,0.96,1.46,0,0,0,1.69,250.73,28.71,63.88,304.92,0,58
16-11-2023,57.08,30.46,1.51,0.68,5.69,7.93,18.43,3,38.6,0.96,1.46,0,0,0,1.32,250.27,28.61,77.56,303.63,0,57
17-11-2023,58.69,30.88,6.03,0.43,5.77,7.84,18.48,3.02,39.1,0.96,1.46,0,0,0,1.35,250.26,28.68,83.71,304.56,0,59
18-11-2023,58.65,30.68,7.84,0.7,5.77,7.87,18.32,2.97,38.8,0.96,1.45,0,0,0,1.24,250.72,28.06,87.17,296.32,0,59
19-11-2023,58.92,30.83,0.84,0.65,5.79,7.94,18.44,2.99,39,0.96,1.46,0,0,0,1.42,251.08,28.51,78.76,302.36,0,59
20-11-2023,58.85,30.8,6.58,0.59,5.78,7.9,18.5,2.99,39,0.96,1.46,0,0,0,1.44,251.09,28.03,75.28,296.05,0,59
21-11-2023,58.31,30.56,8.37,0.37,5.75,7.88,18.39,2.98,38.7,0.96,1.46,0,0,0,1.86,251.1,28.94,75.72,308,0,58
22-11-2023,58.86,30.8,2.48,0.28,5.78,7.91,18.44,2.93,39,0.96,1.46,0,0,0,1.45,251.06,27.13,88,284.14,0,59
23-11-2023,58.09,30.46,2.35,0.43,5.74,7.89,18.47,3.02,38.6,0.96,1.45,0,0,0,1.14,251.04,26.93,88.82,281.5,0,58
24-11-2023,57.72,30.29,3.2,0.6,5.72,7.87,18.37,2.97,34.6,0.96,1.46,0,0,0,1.41,250.37,28.22,79.92,298.56,0,58
25-11-2023,57.92,30.38,1.67,0.45,5.73,7.88,18.35,2.98,26.1,0.96,1.46,0,0,0,1.67,250.57,29,74.81,308.78,0,58
26-11-2023,58.02,30.43,7.66,0.39,5.74,7.93,18.49,2.94,26,0.96,1.46,0,0,0,2.48,251.54,28.86,68.88,306.91,0,58
27-11-2023,58.27,30.54,6.96,0.55,5.75,7.91,18.57,2.99,26,0.96,1.46,0,0,0,1.96,251.09,28.81,68.56,306.27,0,58
28-11-2023,58.78,30.77,2.71,0.68,5.78,7.93,18.66,3.01,25.9,0.96,1.46,0,0,0,1.59,251.11,28.77,70.83,305.8,0,59
29-11-2023,58.09,30.46,5.4,0.71,5.74,7.93,18.46,2.97,25.6,0.96,1.46,0,0,0,1.43,251.89,28.49,73.76,302.07,0,58
30-11-2023,58.33,30.56,5.64,0.5,5.75,8,18.32,2.98,26.5,0.96,1.46,0,0,0,2.02,251.99,29.34,68.51,313.23,0,58
1/12/2023,58.01,30.42,3.27,0.4,5.74,7.88,18.42,3.01,26.06,0.96,1.46,0,0,0,1.73,251.14,28.9,72.78,307.72,0,58
2/12/2023,57.95,30.39,7.99,0.6,5.78,7.95,18.43,2.99,25.91,0.96,1.46,0,0,0,1.46,251.11,28.8,79.33,305.72,0,58
3/12/2023,57.35,30.12,4.65,0.3,5.75,7.85,18.51,2.97,25.61,0.96,1.45,0,0,0,1.46,251.56,28.5,83.12,301.86,0,57
4/12/2023,58.13,30.47,2.22,0.5,5.76,7.9,18.46,3,25.28,0.96,1.46,0,0,0,1.44,253.62,28.1,84.51,297.38,0,58
5/12/2023,58.64,30.7,5.57,0.6,5.76,7.89,18.68,2.98,24.92,0.96,1.45,0,0,0,1.47,255.22,27.8,85.04,292.74,0,59
6/12/2023,58.35,30.58,4.43,0.4,5.76,7.86,18.5,2.98,25.35,0.96,1.45,0,0,0,1.45,255.24,28.2,82.73,298.42,0,58
7/12/2023,58.7,30.73,3.28,0.4,5.77,7.83,18.59,2.99,25.26,0.96,1.45,0,0,0,1.42,255.24,28.1,82.99,297.22,0,58
8/12/2023,58.11,30.47,3.89,0.4,5.74,7.93,18.51,3.01,25.45,0.96,1.46,0,0,0,1.42,254.35,28.3,82.77,299.63,0,58
9/12/2023,58.12,30.47,2.35,0.4,5.74,7.88,18.44,2.98,24.87,0.96,1.45,0,0,0,1.51,251.05,27.7,83.4,292.03,0,58
10/12/2023,57.89,30.37,4.42,0.3,5.73,7.9,18.38,3,26,0.96,1.45,0,0,0,1.66,251.14,28.9,77.94,306.95,0,58
11/12/2023,58.78,30.77,8.24,0.5,5.78,7.84,18.48,2.98,25.23,0.96,1.45,0,0,0,1.66,251,28.1,73.91,296.73,0,59
12/12/2023,58.29,30.55,4.87,0.4,5.75,7.99,18.47,2.99,25.39,0.96,1.46,0,0,0,1.51,251.1,28.3,72.01,298.89,0,58
13-12-2023,58.44,30.61,7.96,0.4,5.76,7.99,18.51,2.97,24.35,0.96,1.46,0,0,0,1.89,251.17,27.2,71.53,285.22,0,58
14-12-2023,58.42,30.6,9.76,0.4,5.76,7.94,18.49,3.01,25.09,0.96,1.46,0,0,0,2.27,251.04,28,60.94,294.93,0,58
15-12-2023,58.58,30.68,4.7,0.4,5.77,7.88,18.55,2.98,25.75,0.96,1.45,0,0,0,1.99,251.33,28.6,61.92,303.69,0,59
16-12-2023,58.24,30.52,8.32,0.6,5.75,8,18.39,2.99,25.58,0.96,1.46,0,0,0,1.63,251.09,28.4,65.97,301.42,0,58
17-12-2023,58.01,30.42,5.78,0.4,5.74,7.92,18.44,2.97,24.46,0.96,1.46,0,0,0,1.97,251.1,27.3,73.64,286.58,0,58
18-12-2023,58.12,30.47,2.38,0.4,5.74,8.01,18.43,3.03,23.58,0.96,1.46,0,0,0,2.68,251.28,26.4,70.55,274.77,0,58
19-12-2023,58.48,30.63,6.99,0.5,5.76,7.94,18.42,3.01,25.7,0.96,1.46,0,0,0,2.58,254.52,28.6,59.79,303.05,0,58
20-12-2023,58.74,30.75,6.76,0.4,5.78,7.9,18.38,3.01,26.07,0.96,1.46,0,0,0,2.55,251.08,28.9,60.35,307.81,0,58
21-12-2023,58.05,30.44,9.05,0.4,5.74,7.9,18.4,2.99,25.88,0.96,1.46,0,0,0,2.16,250.96,28.7,63.92,305.35,0,59
22-12-2023,58.3,30.55,5.56,0.6,5.75,7.86,18.58,3.01,25.26,0.96,1.46,0,0,0,1.48,251.12,28.1,68.93,297.19,0,58
23-12-2023,57.67,30.27,11.6,0.5,5.72,7.98,18.7,2.99,24.39,0.96,1.46,0,0,0,1.67,251.02,27.3,69.86,285.63,0,58
24-12-2023,58.12,30.47,7.36,0.3,5.74,7.78,18.5,2.94,25.18,0.96,1.45,0,0,0,2.04,251.1,28,58.82,296.11,0,58
25-12-2023,58.16,30.49,8.38,0.3,5.75,7.96,18.43,2.95,26.2,0.96,1.46,0,0,0,2.7,250.99,29.1,63.71,309.64,0,58
26-12-2023,58.54,30.66,6.79,0.4,5.77,7.91,18.26,2.99,25.75,0.96,1.46,0,0,0,2.33,251.22,28.6,58.03,303.62,0,59
27-12-2023,58.28,30.54,5.8,0.4,5.75,7.9,18.48,3.01,25.75,0.96,1.46,0,0,0,2.34,250.96,28.6,58.13,303.64,0,58
28-12-2023,58.3,30.55,9.52,0.4,5.75,7.9,18.57,2.99,26.25,0.96,1.46,0,0,0,2.63,251.23,29.1,61.74,310.27,0,58
29-12-2023,57.93,30.38,10.8,0.4,5.73,7.95,18.35,3.02,26.21,0.96,1.46,0,0,0,2.85,251.24,29.1,62.63,309.78,0,58
30-12-2023,58.39,30.59,4.07,0.3,5.76,7.98,18.49,2.99,25.52,0.96,1.46,0,0,0,2.58,251.05,28.4,63.03,300.6,0,58
31-12-2023,58.49,30.64,19.3,0.4,5.76,7.85,18.47,3.03,24.44,0.96,1.45,0,0,0,2.68,251.28,27.3,65.14,286.3,0,58
